init_x,init_y,final_x,final_y,time_delay,true_H0
-0.174151,-0.959789,-0.623774,0.213668,129.937114,70.000000
0.827960,-0.472565,0.469286,-0.396622,172.552125,70.000000
-0.406195,-0.926057,-0.662967,-0.455487,148.669973,70.000000
-0.233263,-0.449950,0.112372,-0.117366,275.768110,70.000000
-0.310308,0.659021,0.196168,0.115133,262.073386,70.000000
0.158359,-0.458548,-0.013907,0.042115,315.260958,70.000000
-0.823183,0.763945,-0.801587,0.734562,139.862786,70.000000
-0.376070,-0.602697,0.211580,-0.000216,270.080148,70.000000
0.463277,0.291009,0.284988,-0.006029,269.616768,70.000000
0.995419,0.010472,-0.147504,-0.006253,233.400868,70.000000
-0.003371,-0.653076,0.010700,-0.243949,225.080839,70.000000
-0.243157,-0.736802,1.258398,0.217523,118.110955,70.000000
0.568090,-0.110447,0.030528,0.001844,308.554988,70.000000
-0.277318,-0.886310,1.126533,0.156171,138.030006,70.000000
-0.217178,-0.102675,-0.073047,0.000537,366.743263,70.000000
0.342359,0.021085,-0.134901,0.001339,348.181862,70.000000
0.372608,0.417587,-0.161080,0.016585,290.562721,70.000000
0.376924,0.963553,-0.588127,0.056195,159.155835,70.000000
0.433396,0.094057,-0.070028,0.007681,302.684618,70.000000
0.808451,-0.357992,-0.211441,-0.046884,196.931038,70.000000
-0.778942,0.324795,-0.120192,-0.041153,211.186347,70.000000
0.835809,-0.550643,-0.499149,-0.438288,160.968249,70.000000
-0.663156,0.344499,-0.438035,0.187196,212.472178,70.000000
-0.000250,-0.209217,-0.014680,-0.000020,328.373429,70.000000
-0.310908,0.567590,-0.053372,-0.053827,307.111782,70.000000
-0.507202,-0.539461,-0.217963,-0.009081,194.380510,70.000000
-0.724387,-0.770716,0.697722,-0.598012,144.256366,70.000000
0.583650,-0.589469,0.635361,-0.374899,172.681163,70.000000
0.793241,-0.004826,0.231479,0.001483,267.958085,70.000000
0.889693,-0.937273,-0.829796,-0.880276,125.822273,70.000000
-0.745344,0.996132,1.022629,0.684521,125.977841,70.000000
-0.006480,-0.917491,-0.107016,-0.099740,280.845629,70.000000
-0.276999,0.477633,-0.048749,0.001005,334.824222,70.000000
-0.426393,-0.394213,-0.228630,-0.043046,259.333025,70.000000
0.465975,-0.362944,-0.239547,0.029953,246.325576,70.000000
-0.007777,-0.707888,-0.094084,0.297548,155.569192,70.000000
0.530195,0.982628,-0.737044,0.507596,135.347988,70.000000
-0.965898,0.145902,1.481487,-0.218105,148.192592,70.000000
0.168543,0.699342,-0.029299,-0.267435,191.595556,70.000000
-0.160694,-0.781317,-0.353989,0.163837,178.635394,70.000000
0.397915,-0.239577,-0.114404,-0.025249,302.299614,70.000000
-0.572668,-0.837774,0.337456,0.120293,145.514142,70.000000
-0.469607,-0.681875,-0.027874,0.073605,181.200741,70.000000
-0.270583,0.311352,0.073727,-0.005044,349.623086,70.000000
0.892317,-0.830047,0.090857,0.132517,132.651694,70.000000
-0.601950,-0.977467,-0.788551,-0.718288,130.758750,70.000000
-0.284997,0.057737,-0.157195,-0.004966,346.930289,70.000000
0.388574,0.762125,0.276593,0.111121,185.553428,70.000000
-0.964244,-0.053911,-0.279746,-0.010244,212.812534,70.000000
-0.086514,-0.034793,0.023606,0.000002,334.166170,70.000000
-0.771386,-0.687495,-0.725918,-0.661634,148.637666,70.000000
-0.735063,-0.211519,-0.263768,-0.041398,253.787148,70.000000
-0.992316,0.152733,0.330686,0.028280,232.480333,70.000000
0.990537,-0.049386,0.562691,0.017694,189.013263,70.000000
-0.025866,-0.725346,0.065882,-0.180789,260.753223,70.000000
-0.891581,-0.793896,0.870165,-0.767629,135.312007,70.000000
0.989399,0.830403,0.853007,0.793305,130.694102,70.000000
0.580811,-0.307735,0.034953,0.004779,238.046145,70.000000
-0.096376,0.206744,-0.003176,0.000105,350.003542,70.000000
0.749240,0.480760,-0.391607,0.119467,175.967818,70.000000
